ContractID,CustomerName,CustomerEmail,ContractDate,kWh,RatePerkWh,TotalAmount
C1107,Mountain Peak Solar,mountainpeaksolar@example.com,2024-09-15,210588,0.118,24849.38
C1108,GreenValley Farms,greenvalleyfarms@example.com,2024-09-19,113223,0.116,13133.87
C1109,Desert Solar Inc.,desertsolarinc@example.com,2024-09-07,126836,0.114,14459.3
C1110,GreenValley Farms,greenvalleyfarms@example.com,2024-10-09,297498,0.113,33617.27
C1111,SolarWave Enterprises,solarwaveenterprises@example.com,2024-10-04,280266,0.113,31670.06
C1112,Desert Solar Inc.,desertsolarinc@example.com,2024-10-28,174661,0.112,19562.03
C1113,Desert Solar Inc.,desertsolarinc@example.com,2024-11-18,71003,0.115,8165.35
C1114,GreenValley Farms,greenvalleyfarms@example.com,2024-11-14,246312,0.11,27094.32
C1115,EcoPower Corp,ecopowercorp@example.com,2024-11-29,192612,0.112,21572.54
C1116,EcoPower Corp,ecopowercorp@example.com,2024-11-14,85002,0.11,9350.22
C1117,Sunrise Energy LLC,sunriseenergyllc@example.com,2024-11-18,276331,0.117,32330.73
C1118,EcoPower Corp,ecopowercorp@example.com,2024-11-15,238252,0.116,27637.23
C1119,GreenValley Farms,greenvalleyfarms@example.com,2024-12-02,277766,0.108,29998.73
C1120,Sunrise Energy LLC,sunriseenergyllc@example.com,2024-12-30,182313,0.111,20236.74
C1121,Urban Solar Solutions,urbansolarsolutions@example.com,2024-12-16,239054,0.109,26056.89
C1122,SolarWave Enterprises,solarwaveenterprises@example.com,2024-12-17,191405,0.113,21628.76
C1123,BrightFuture Renewables,brightfuturerenewables@example.com,2024-12-26,252285,0.11,27751.35
C1124,Sunrise Energy LLC,sunriseenergyllc@example.com,2025-01-06,294605,0.108,31817.34
C1125,EcoPower Corp,ecopowercorp@example.com,2025-01-09,248395,0.111,27571.85
C1126,Sunrise Energy LLC,sunriseenergyllc@example.com,2025-01-28,104747,0.108,11312.68
C1127,GreenValley Farms,greenvalleyfarms@example.com,2025-02-16,72804,0.108,7862.83
C1128,Sunrise Energy LLC,sunriseenergyllc@example.com,2025-02-11,219933,0.11,24192.63
C1129,GreenValley Farms,greenvalleyfarms@example.com,2025-02-13,241655,0.107,25857.08
C1130,EcoPower Corp,ecopowercorp@example.com,2025-02-02,272035,0.108,29379.78
C1131,SolarWave Enterprises,solarwaveenterprises@example.com,2025-03-23,271329,0.098,26590.24
C1132,SolarWave Enterprises,solarwaveenterprises@example.com,2025-03-02,251355,0.105,26392.27
C1133,EcoPower Corp,ecopowercorp@example.com,2025-03-31,80770,0.107,8642.39
C1134,Desert Solar Inc.,desertsolarinc@example.com,2025-03-21,102815,0.108,11104.02
C1135,GreenValley Farms,greenvalleyfarms@example.com,2025-03-24,74037,0.107,7921.96
C1136,BrightFuture Renewables,brightfuturerenewables@example.com,2025-04-28,114269,0.101,11541.17
C1137,Sunrise Energy LLC,sunriseenergyllc@example.com,2025-04-29,138693,0.104,14424.07
C1138,Urban Solar Solutions,urbansolarsolutions@example.com,2025-04-27,87510,0.106,9276.06
C1139,BrightFuture Renewables,brightfuturerenewables@example.com,2025-05-19,249648,0.1,24964.8
C1140,Urban Solar Solutions,urbansolarsolutions@example.com,2025-05-15,265315,0.103,27327.44
C1141,Mountain Peak Solar,mountainpeaksolar@example.com,2025-05-24,149390,0.105,15685.95
C1142,EcoPower Corp,ecopowercorp@example.com,2025-05-07,141939,0.096,13626.14
C1143,Mountain Peak Solar,mountainpeaksolar@example.com,2025-06-12,272843,0.096,26192.93
C1144,GreenValley Farms,greenvalleyfarms@example.com,2025-06-11,244799,0.098,23990.3
C1145,Urban Solar Solutions,urbansolarsolutions@example.com,2025-06-07,175691,0.097,17042.03
C1146,Urban Solar Solutions,urbansolarsolutions@example.com,2025-06-26,216434,0.094,20344.8
